Agency,Portfolio,Glossary Type,Num Terms,Methods,Glossary URLs
National Mental Health Commission,Health,both,69,paragraph,https://www.transparency.gov.au/publications/health/national-mental-health-commission/national-mental-health-commission-annual-report-2023-24/navigation-aids/glossary | https://www.transparency.gov.au/publications/health/national-mental-health-commission/national-mental-health-commission-annual-report-2023-24/navigation-aids/acronyms
National Offshore Petroleum Safety and Environmental Management Authority (NOPSEMA),"Industry, Innovation and Science",one,93,table,https://www.transparency.gov.au/publications/industry-innovation-and-science/national-offshore-petroleum-safety-and-environmental-management-authority-nopsema/national-offshore-petroleum-safety-and-environmental-management-authority-annual-report-2023-24/part-4%3A-annual-performance-statements/glossary-of-acronyms-and-abbreviations
National Transport Commission,"Infrastructure, Transport, Cities and Regional Development",one,39,paragraph,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/national-transport-commission/national-transport-commission-annual-report-2023-24/appendices/appendix-e%3A-glossary-and-acronyms
Northern Australia Infrastructure Facility,"Industry, Innovation and Science",one,42,table,https://www.transparency.gov.au/publications/industry-innovation-and-science/northern-australia-infrastructure-facility/northern-australia-infrastructure-facility-annual-report-2023-2024/abbreviations-and-acronyms
Northern Land Council,Prime Minister and Cabinet,one,28,table,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/northern-land-council/northern-land-council-annual-report-2023-24/part-5---appendices/glossary
Office of Parliamentary Counsel,Attorney-General's,one,38,table,https://www.transparency.gov.au/publications/attorney-general-s/office-of-parliamentary-counsel/office-of-parliamentary-counsel-annual-report-2023-24/glossary
Office of the Auditing and Assurance Standards Board (AUASB),Treasury,one,34,table,https://www.transparency.gov.au/publications/treasury/office-of-the-auditing-and-assurance-standards-board-auasb/office-of-the-auditing-and-assurance-standards-board-annual-report-2023-24/abbreviations
Office of the Australian Accounting Standards Board (AASB),Treasury,one,34,table,https://www.transparency.gov.au/publications/treasury/office-of-the-australian-accounting-standards-board-aasb/office-of-the-australian-accounting-standards-board-annual-report-2023-24/abbreviations
Office of the Commonwealth Ombudsman,Attorney-General's,both,82,table,https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-commonwealth-ombudsman/office-of-the-commonwealth-ombudsman-annual-report-2023-24/part-8%3A-references/glossary | https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-commonwealth-ombudsman/office-of-the-commonwealth-ombudsman-annual-report-2023-24/part-8%3A-references/acronyms%2C-initialisms-and-abbreviations
Office of the Fair Work Ombudsman,Attorney-General's,both,75,paragraph,https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-fair-work-ombudsman/office-of-the-fair-work-ombudsman-2023-24-annual-report/part-5---reference-material/glossary | https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-fair-work-ombudsman/office-of-the-fair-work-ombudsman-2023-24-annual-report/part-5---reference-material/abbreviations-and-acronyms
Office of the Inspector-General of Aged Care,Health and Aged Care,one,31,table,https://www.transparency.gov.au/publications/health-and-aged-care/office-of-the-inspector-general-of-aged-care/office-of-the-inspector-general-of-aged-care-annual-report-2023-24/appendix-4%3A-glossary
Office of the Inspector-General of Intelligence and Security,Attorney-General's,one,50,table,https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-inspector-general-of-intelligence-and-security/office-of-the-inspector-general-of-intelligence-and-security-annual-report-2023-24/preliminaries/glossary
Office of the Official Secretary to the Governor-General,Prime Minister and Cabinet,one,60,table,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/office-of-the-official-secretary-to-the-governor-general/office-of-the-official-secretary-to-the-governor-general-annual-report-2023-24/glossary%2C-abbreviations-and-acronyms
Office of the Special Investigator,Attorney-General's,one,32,table,https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-special-investigator/office-of-the-special-investigator-annual-report-2023-24/part-7-reference-material-/glossary-of-abbreviations-and-acronyms
Organ and Tissue Authority (Australian Organ and Tissue Donation and Transplantation Authority),Health,both,39,table,https://www.transparency.gov.au/publications/health/organ-and-tissue-authority-australian-organ-and-tissue-donation-and-transplantation-authority/australian-organ-and-tissue-donation-and-transplantation-authority-annual-report-2023-24/part-5-%2F-appendices/appendix-5%3A-glossary | https://www.transparency.gov.au/publications/health/organ-and-tissue-authority-australian-organ-and-tissue-donation-and-transplantation-authority/australian-organ-and-tissue-donation-and-transplantation-authority-annual-report-2023-24/part-5-%2F-appendices/appendix-4%3A-abbreviations
Parliamentary Budget Office,Parliamentary Departments (not a portfolio),both,26,table,https://www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/parliamentary-budget-office/parliamentary-budget-office-annual-report-2023-24/references/glossary | https://www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/parliamentary-budget-office/parliamentary-budget-office-annual-report-2023-24/references/abbreviations-and-acronyms
Parliamentary Workplace Support Service,Finance,one,57,paragraph,https://www.transparency.gov.au/publications/finance/parliamentary-workplace-support-service/parliamentary-workplace-support-service-annual-report-2023-24/part-5.-appendices/appendix-g--abbreviations-and-acronyms
Productivity Commission,Treasury,one,27,table,https://www.transparency.gov.au/publications/treasury/productivity-commission/annual-report-2023-24/abbreviations
Reserve Bank of Australia,Treasury,one,158,table,https://www.transparency.gov.au/publications/treasury/reserve-bank-of-australia/reserve-bank-of-australia-annual-report-2023-24/part-5%3A-indexes/5.5-abbreviations
Royal Australian Mint,Treasury,both,65,"paragraph,table",https://www.transparency.gov.au/publications/treasury/royal-australian-mint/annual-report-royal-australian-mint-2023-2024/09-indices/glossary | https://www.transparency.gov.au/publications/treasury/royal-australian-mint/annual-report-royal-australian-mint-2023-2024/09-indices/abbreviations-and-acronyms
Rural Industries Research and Development Corporation,Agriculture,one,59,paragraph,https://www.transparency.gov.au/publications/agriculture/rural-industries-research-and-development-corporation/agrifutures-australia-annual-report-2023-2024/appendices/appendix-4%3A-glossary
Safe Work Australia,Attorney-General's,both,89,table,https://www.transparency.gov.au/publications/attorney-general-s/safe-work-australia/safe-work-australia-annual-report-2023-24/part-8-%E2%80%93-references/glossary-of-terms | https://www.transparency.gov.au/publications/attorney-general-s/safe-work-australia/safe-work-australia-annual-report-2023-24/part-8-%E2%80%93-references/acronyms-and-abbreviations
"Seafarers Safety, Rehabilitation and Compensation Authority (Seacare Authority)",Attorney-General's,one,23,table,https://www.transparency.gov.au/publications/attorney-general-s/seafarers-safety-rehabilitation-and-compensation-authority-seacare-authority/seafarers-safety-rehabilitation-and-compensation-authority-annual-report-2023-24/glossary/glossary
Services Australia,Services Australia,one,102,table,https://www.transparency.gov.au/publications/services-australia/services-australia/services-australia-annual-report-2023-24/part-11%3A-appendices/appendix-e---glossary-of-abbreviations-and-acronyms
Sport Integrity Australia,Health,both,52,table,https://www.transparency.gov.au/publications/health/sport-integrity-australia/sport-integrity-australia-annual-report-2023-24/navigation-aids/glossary | https://www.transparency.gov.au/publications/health/sport-integrity-australia/sport-integrity-australia-annual-report-2023-24/navigation-aids/acronyms-and-abbreviations
Sydney Harbour Federation Trust,"Agriculture, Water and the Environment",one,51,table,https://www.transparency.gov.au/publications/agriculture-water-and-the-environment/sydney-harbour-federation-trust/sydney-harbour-federation-trust-annual-report-2023-24/abbreviations-and-acronyms
Tertiary Education Quality and Standards Agency,Education,one,35,table,https://www.transparency.gov.au/publications/education/tertiary-education-quality-and-standards-agency/tertiary-education-quality-and-standards-agency-annual-report-2023-24/part-5%3A-appendices/glossary-of-abbreviations%2C-acronyms-and-definitions
Tiwi Land Council,Prime Minister and Cabinet,one,16,table,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/tiwi-land-council/annual-report-2023-2024/part-5%3A-appendices/glossary-
Torres Strait Regional Authority,Prime Minister and Cabinet,one,39,table,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/torres-strait-regional-authority/torres-strait-regional-authority-annual-report-2023-24/part-5%3A-abbreviations-and-requirements/list-of-abbreviations
Tourism Australia,Foreign Affairs and Trade,both,53,"paragraph,table",https://www.transparency.gov.au/publications/foreign-affairs-and-trade/tourism-australia/tourism-australia-annual-report-2023-24/7.-appendix/7.4-glossary | https://www.transparency.gov.au/publications/foreign-affairs-and-trade/tourism-australia/tourism-australia-annual-report-2023-24/7.-appendix/7.5-abbreviations-and-acronyms
WSA Co Ltd,"Infrastructure, Transport, Cities and Regional Development",both,0,-,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/wsa-co-ltd/wsa-co-limited-annual-report-2023-24/12.-glossary-and-abbreviations | https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/wsa-co-ltd/wsa-co-limited-annual-report-2023-24/12.-glossary-and-abbreviations
Wine Australia,Agriculture,one,46,table,https://www.transparency.gov.au/publications/agriculture/wine-australia/wine-australia-annual-report-2023-24/appendices/appendix-ii%3A-glossary
Workplace Gender Equality Agency,Prime Minister and Cabinet,one,38,table,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/workplace-gender-equality-agency/workplace-gender-equality-agency-annual-report-2023-24/overview/glossary-and-acronyms
