Portfolio,Entity,BodyType,Url
Parliamentary Departments (not a portfolio),Department of the House of Representatives,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-the-house-of-representatives/department-of-the-house-of-representatives-annual-report-2023-24/abbreviations-and-acronyms
Attorney-General's,Fair Work Commission,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/fair-work-commission/fair-work-commission-annual-report-2023-24-access-to-justice/acronyms-and-abbreviations
Attorney-General's,Fair Work Commission,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/fair-work-commission/fair-work-commission-annual-report-2023-24-access-to-justice/glossary
Treasury,Housing Australia,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/treasury/housing-australia/housing-australia-annual-report-2023-24/appendix-f%3A-abbreviations-and-acronyms
"Infrastructure, Transport, Regional Development, Communications and the Arts",National Archives of Australia,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/national-archives-of-australia/national-archives-of-australia-annual-report-2023-24/part-6%3A-glossary-and-indexes
"Infrastructure, Transport, Cities and Regional Development",National Capital Authority,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/national-capital-authority/national-capital-authority-annual-report-2023-24/glossary-of-abbreviations%2C-acronyms-and-terms
Treasury,National Competition Council,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/treasury/national-competition-council/national-competition-council-annual-report-2023-24/glossary
Home Affairs,National Emergency Management Agency,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/home-affairs/national-emergency-management-agency/national-emergency-management-agency-annual-report-2023-24/appendix-2%3A-acronyms-and-abbreviations
Prime Minister and Cabinet,National Indigenous Australians Agency,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/national-indigenous-australians-agency/national-indigenous-australians-agency-annual-report-2023-24/section-6---glossary-and-indexes
Communications and the Arts,National Library of Australia,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/communications-and-the-arts/national-library-of-australia/national-library-of-australia-annual-report-2023-24/glossary-and-indices
"Industry, Innovation and Science",Northern Australia Infrastructure Facility,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/industry-innovation-and-science/northern-australia-infrastructure-facility/northern-australia-infrastructure-facility-annual-report-2023-2024/abbreviations-and-acronyms
Attorney-General's,Office of Parliamentary Counsel,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/office-of-parliamentary-counsel/office-of-parliamentary-counsel-annual-report-2023-24/glossary
