Portfolio,Entity,BodyType,Url
Parliamentary Departments (not a portfolio),Department of Parliamentary Services,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-parliamentary-services/department-of-parliamentary-services-annual-report-2023-2024/part-9%3A-reference-material/glossary
Social Services,Department of Social Services,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/social-services/department-of-social-services/department-of-social-services-2023-24-annual-report/part-6---appendices-and-index/appendix-g-glossary-of-abbreviations-and-acronyms
Veterans' Affairs,Department of Veterans' Affairs,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/veterans-affairs/department-of-veterans-affairs/dva-annual-report-2023-24/08-aids-to-access/acronyms-and-abbreviations
Parliamentary Departments (not a portfolio),Department of the Senate,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-the-senate/department-of-the-senate-annual-report-2023-24/references/glossary-and-abbreviations-list
Treasury,Department of the Treasury,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/treasury/department-treasury/treasury-annual-report-2023-24/part-5---appendices/glossary
Treasury,Department of the Treasury,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/treasury/department-treasury/treasury-annual-report-2023-24/part-5---appendices/abbreviations-and-acronyms
Finance,Digital Transformation Agency,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/finance/digital-transformation-agency/digital-transformation-agency-annual-report-2023-24/appendices/appendix-d%3A-glossary-and-abbreviations
Social Services,"Domestic, Family and Sexual Violence Commission",Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/social-services/domestic-family-and-sexual-violence-commission/domestic-family-and-sexual-violence-commission-annual-report-2023-24/appendix-a%3A-other-mandatory-information/appendix-b%3A-glossary-of-abbreviations-and-acronyms
Foreign Affairs and Trade,"Export Finance and Insurance Corporation (EFIC, Export Finance Australia)",Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/foreign-affairs-and-trade/export-finance-and-insurance-corporation-efic-export-finance-australia/export-finance-australia-annual-report-2023-2024/appendices/appendix-f%3A-abbreviations-and-acronyms
Attorney-General's,Federal Court of Australia,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/federal-court-of-australia/fca-listed-entity-ar-2023-24/about-this-report/acronyms-and-abbreviations
Attorney-General's,Federal Court of Australia,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/federal-court-of-australia/fca-listed-entity-ar-2023-24/about-this-report/glossary
Agriculture,Fisheries Research and Development Corporation,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/agriculture/fisheries-research-and-development-corporation/fisheries-research-and-development-corporation-2023-24/appendices/abbreviations-and-acronyms
Finance,Future Fund Management Agency,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/finance/future-fund-management-agency/future-fund-management-agency-annual-report-2023-24/08-references-and-index/glossary-of-abbreviations-and-acronyms
"Industry, Innovation and Science",Geoscience Australia,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/industry-innovation-and-science/geoscience-australia/geoscience-australia-annual-report-2023-24/05-appendices/glossary-of-abbreviations-and-acronyms
Agriculture,Grains Research and Development Corporation,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/agriculture/grains-research-and-development-corporation/grains-research-and-development-corporation-annual-report-2023-24/7.-references/abbreviations-lndex
"Agriculture, Water and the Environment",Great Barrier Reef Marine Park Authority,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/agriculture-water-and-the-environment/great-barrier-reef-marine-park-authority/great-barrier-reef-marine-park-authority-annual-report-2023-24/6.-appendices/acronyms-and-abbreviations
"Industry, Innovation and Science",IP Australia,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/industry-innovation-and-science/ip-australia/ip-australia-annual-report-2023-24/part-6%3A-requirements/acronym%2Fabbreviation
Health and Aged Care,Independent Health and Aged Care Pricing Authority,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/health-and-aged-care/independent-health-and-aged-care-pricing-authority/independent-health-and-aged-care-pricing-authority-annual-report-2023-24/appendices/appendix-c-%E2%80%94-glossary
Health and Aged Care,Independent Health and Aged Care Pricing Authority,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/health-and-aged-care/independent-health-and-aged-care-pricing-authority/independent-health-and-aged-care-pricing-authority-annual-report-2023-24/appendices/appendix-b-%E2%80%94-acronyms-and-abbreviations
Finance,Independent Parliamentary Expenses Authority,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/finance/independent-parliamentary-expenses-authority/independent-parliamentary-expenses-authority-annual-report-2023-24/chapter-5.-other-mandatory-information/glossary-
Prime Minister and Cabinet,Indigenous Land and Sea Corporation,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/indigenous-land-and-sea-corporation/indigenous-land-and-sea-corporation-annual-report-2023-24/part-seven%3A-guide-to-access/acronyms%2C-abbreviations-and-terminology
Treasury,Inspector-General of Taxation,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/treasury/inspector-general-of-taxation/inspector-general-of-taxation-annual-report-2023-24/part-7-%E2%80%93-reference-materials/glossary
Agriculture,Murray-Darling Basin Authority,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/agriculture/murray-darling-basin-authority/murray-darling-basin-authority-annual-report-2023-24/appendices/glossary
Agriculture,Murray-Darling Basin Authority,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/agriculture/murray-darling-basin-authority/murray-darling-basin-authority-annual-report-2023-24/appendices/abbreviations
Social Services,NDIS Quality and Safeguards Commission,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/social-services/ndis-quality-and-safeguards-commission/ndis-quality-and-safeguards-commission-annual-report-2023-24/appendices/4.-abbreviations-and-acronyms
Social Services,NDIS Quality and Safeguards Commission,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/social-services/ndis-quality-and-safeguards-commission/ndis-quality-and-safeguards-commission-annual-report-2023-24/appendices/3.-glossary
Attorney-General's,National Anti-Corruption Commission,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/national-anti-corruption-commission/national-anti-corruption-commission-annual-report-2023-24/aides-to-access/acronyms-and-abbreviations
Attorney-General's,National Anti-Corruption Commission,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/national-anti-corruption-commission/national-anti-corruption-commission-annual-report-2023-24/aides-to-access/glossary-of-data-terms
"Infrastructure, Transport, Regional Development, Communications and the Arts",National Archives of Australia,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/national-archives-of-australia/national-archives-of-australia-annual-report-2023-24/part-6%3A-glossary-and-indexes/abbreviations-and-acronyms
"Infrastructure, Transport, Regional Development, Communications and the Arts",National Archives of Australia,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/national-archives-of-australia/national-archives-of-australia-annual-report-2023-24/part-6%3A-glossary-and-indexes/glossary
Health,National Blood Authority,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/health/national-blood-authority/national-blood-authority-annual-report-2023-24/part-five%3A-appendixes/appendix-7.-acronyms-and-abbreviations
Social Services,National Disability Insurance Agency,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/social-services/national-disability-insurance-agency/national-disability-insurance-agency-annual-report-2023-24/6.-appendices/6.15.2-acronyms
Home Affairs,National Emergency Management Agency,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/home-affairs/national-emergency-management-agency/national-emergency-management-agency-annual-report-2023-24/appendix-2%3A-acronyms-and-abbreviations/acronyms-and-abbreviations
Communications and the Arts,National Film and Sound Archive of Australia,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/communications-and-the-arts/national-film-and-sound-archive-of-australia/national-film-and-sound-archive-annual-report-2023-24/section-four%3A-appendices/abbreviations
Communications and the Arts,National Gallery of Australia,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/communications-and-the-arts/national-gallery-of-australia/national-gallery-of-australia-annual-report-2023-24/part-6%3A-appendices/abbreviations-and-acronyms
Health,National Health Funding Body (NHFB),Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/health/national-health-funding-body-nhfb/national-health-funding-body-annual-report-2023-24/part-5%3A-reference-information/abbreviations-and-acronyms
Health,National Health Funding Body (NHFB),Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/health/national-health-funding-body-nhfb/national-health-funding-body-annual-report-2023-24/part-5%3A-reference-information/glossary
Health,National Health and Medical Research Council (NHMRC),Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/health/national-health-and-medical-research-council-nhmrc/annual-report-2023-24/appendices/appendix-4%3A-abbreviations-and-acronyms
Prime Minister and Cabinet,National Indigenous Australians Agency,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/national-indigenous-australians-agency/national-indigenous-australians-agency-annual-report-2023-24/section-6---glossary-and-indexes/glossary
Prime Minister and Cabinet,National Indigenous Australians Agency,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/national-indigenous-australians-agency/national-indigenous-australians-agency-annual-report-2023-24/section-6---glossary-and-indexes/abbreviations
"Infrastructure, Transport, Regional Development, Communications and the Arts",National Intermodal Corporation Limited,Commonwealth Company,https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/national-intermodal-corporation-limited/national-intermodal-annual-report-2024/6.-reporting-index/glossary-and-abbreviations
Communications and the Arts,National Library of Australia,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/communications-and-the-arts/national-library-of-australia/national-library-of-australia-annual-report-2023-24/glossary-and-indices/compliance-index
Communications and the Arts,National Library of Australia,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/communications-and-the-arts/national-library-of-australia/national-library-of-australia-annual-report-2023-24/glossary-and-indices/glossary
Communications and the Arts,National Library of Australia,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/communications-and-the-arts/national-library-of-australia/national-library-of-australia-annual-report-2023-24/glossary-and-indices/shortened-terms
Health,National Mental Health Commission,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/health/national-mental-health-commission/national-mental-health-commission-annual-report-2023-24/navigation-aids/glossary
Health,National Mental Health Commission,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/health/national-mental-health-commission/national-mental-health-commission-annual-report-2023-24/navigation-aids/acronyms
"Industry, Innovation and Science",National Offshore Petroleum Safety and Environmental Management Authority (NOPSEMA),Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/industry-innovation-and-science/national-offshore-petroleum-safety-and-environmental-management-authority-nopsema/national-offshore-petroleum-safety-and-environmental-management-authority-annual-report-2023-24/part-4%3A-annual-performance-statements/glossary-of-acronyms-and-abbreviations
"Infrastructure, Transport, Cities and Regional Development",National Transport Commission,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/national-transport-commission/national-transport-commission-annual-report-2023-24/appendices/appendix-e%3A-glossary-and-acronyms
Prime Minister and Cabinet,Northern Land Council,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/northern-land-council/northern-land-council-annual-report-2023-24/part-5---appendices/glossary
Attorney-General's,Office of the Commonwealth Ombudsman,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/office-of-the-commonwealth-ombudsman/office-of-the-commonwealth-ombudsman-annual-report-2023-24/part-8%3A-references/acronyms%2C-initialisms-and-abbreviations
Attorney-General's,Office of the Commonwealth Ombudsman,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/office-of-the-commonwealth-ombudsman/office-of-the-commonwealth-ombudsman-annual-report-2023-24/part-8%3A-references/glossary
Attorney-General's,Office of the Fair Work Ombudsman,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/office-of-the-fair-work-ombudsman/office-of-the-fair-work-ombudsman-2023-24-annual-report/part-5---reference-material/abbreviations-and-acronyms
Attorney-General's,Office of the Fair Work Ombudsman,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/office-of-the-fair-work-ombudsman/office-of-the-fair-work-ombudsman-2023-24-annual-report/part-5---reference-material/glossary
Attorney-General's,Office of the Inspector-General of Intelligence and Security,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/office-of-the-inspector-general-of-intelligence-and-security/office-of-the-inspector-general-of-intelligence-and-security-annual-report-2023-24/preliminaries/glossary
Attorney-General's,Office of the Special Investigator,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/office-of-the-special-investigator/office-of-the-special-investigator-annual-report-2023-24/part-7-reference-material-/glossary-of-abbreviations-and-acronyms
Health,Organ and Tissue Authority (Australian Organ and Tissue Donation and Transplantation Authority),Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/health/organ-and-tissue-authority-australian-organ-and-tissue-donation-and-transplantation-authority/australian-organ-and-tissue-donation-and-transplantation-authority-annual-report-2023-24/part-5-%2F-appendices/appendix-5%3A-glossary
Health,Organ and Tissue Authority (Australian Organ and Tissue Donation and Transplantation Authority),Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/health/organ-and-tissue-authority-australian-organ-and-tissue-donation-and-transplantation-authority/australian-organ-and-tissue-donation-and-transplantation-authority-annual-report-2023-24/part-5-%2F-appendices/appendix-4%3A-abbreviations
Parliamentary Departments (not a portfolio),Parliamentary Budget Office,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/parliamentary-budget-office/parliamentary-budget-office-annual-report-2023-24/references/abbreviations-and-acronyms
Parliamentary Departments (not a portfolio),Parliamentary Budget Office,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/parliamentary-budget-office/parliamentary-budget-office-annual-report-2023-24/references/glossary
Finance,Parliamentary Workplace Support Service,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/finance/parliamentary-workplace-support-service/parliamentary-workplace-support-service-annual-report-2023-24/part-5.-appendices/appendix-g--abbreviations-and-acronyms
Treasury,Reserve Bank of Australia,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/treasury/reserve-bank-of-australia/reserve-bank-of-australia-annual-report-2023-24/part-5%3A-indexes/5.5-abbreviations
Treasury,Royal Australian Mint,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/treasury/royal-australian-mint/annual-report-royal-australian-mint-2023-2024/09-indices/glossary
Treasury,Royal Australian Mint,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/treasury/royal-australian-mint/annual-report-royal-australian-mint-2023-2024/09-indices/abbreviations-and-acronyms
Agriculture,Rural Industries Research and Development Corporation,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/agriculture/rural-industries-research-and-development-corporation/agrifutures-australia-annual-report-2023-2024/appendices/appendix-4%3A-glossary
Attorney-General's,Safe Work Australia,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/safe-work-australia/safe-work-australia-annual-report-2023-24/part-8-%E2%80%93-references/acronyms-and-abbreviations
Attorney-General's,Safe Work Australia,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/safe-work-australia/safe-work-australia-annual-report-2023-24/part-8-%E2%80%93-references/glossary-of-terms
Attorney-General's,"Seafarers Safety, Rehabilitation and Compensation Authority (Seacare Authority)",Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/seafarers-safety-rehabilitation-and-compensation-authority-seacare-authority/seafarers-safety-rehabilitation-and-compensation-authority-annual-report-2023-24/glossary/glossary
Services Australia,Services Australia,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/services-australia/services-australia/services-australia-annual-report-2023-24/part-11%3A-appendices/appendix-e---glossary-of-abbreviations-and-acronyms
Health,Sport Integrity Australia,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/health/sport-integrity-australia/sport-integrity-australia-annual-report-2023-24/navigation-aids/glossary
Health,Sport Integrity Australia,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/health/sport-integrity-australia/sport-integrity-australia-annual-report-2023-24/navigation-aids/acronyms-and-abbreviations
Education,Tertiary Education Quality and Standards Agency,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/education/tertiary-education-quality-and-standards-agency/tertiary-education-quality-and-standards-agency-annual-report-2023-24/part-5%3A-appendices/glossary-of-abbreviations%2C-acronyms-and-definitions
Prime Minister and Cabinet,Tiwi Land Council,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/tiwi-land-council/annual-report-2023-2024/part-5%3A-appendices/glossary-
Prime Minister and Cabinet,Torres Strait Regional Authority,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/torres-strait-regional-authority/torres-strait-regional-authority-annual-report-2023-24/part-5%3A-abbreviations-and-requirements/list-of-abbreviations
Foreign Affairs and Trade,Tourism Australia,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/foreign-affairs-and-trade/tourism-australia/tourism-australia-annual-report-2023-24/7.-appendix/7.4-glossary
Foreign Affairs and Trade,Tourism Australia,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/foreign-affairs-and-trade/tourism-australia/tourism-australia-annual-report-2023-24/7.-appendix/7.5-abbreviations-and-acronyms
"Infrastructure, Transport, Cities and Regional Development",WSA Co Ltd,Commonwealth Company,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/wsa-co-ltd/wsa-co-limited-annual-report-2023-24/12.-glossary-and-abbreviations/glossary
"Infrastructure, Transport, Cities and Regional Development",WSA Co Ltd,Commonwealth Company,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/wsa-co-ltd/wsa-co-limited-annual-report-2023-24/12.-glossary-and-abbreviations/abbreviations
Agriculture,Wine Australia,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/agriculture/wine-australia/wine-australia-annual-report-2023-24/appendices/appendix-ii%3A-glossary
Prime Minister and Cabinet,Workplace Gender Equality Agency,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/workplace-gender-equality-agency/workplace-gender-equality-agency-annual-report-2023-24/overview/glossary-and-acronyms
